Date,Solar_Generation_kWh,Electricity_Consumed_kWh,Electricity_Exported_kWh,Maximum_Temperature_C,Minimum_Temperature_C,Humidity,Cloud_Cover,Rainfall_mm,Peak_Power_kW,Electricity_Tariff
1/1/2025,25.19,35.72,10.9,39.8,24.1,35,61,11.9,3.09,8.4
1/2/2025,30.12,39.68,14.25,33.8,12.8,59,32,10.5,3.82,6.91
1/3/2025,16.76,24.18,7.09,37.6,27.7,72,44,21,5.68,7.51
1/4/2025,8.93,13.82,3.4,25.9,25.8,42,18,21.4,5.05,8.9
1/5/2025,16.12,17.41,9.16,26.3,19.4,65,42,18.2,2.16,8.73
1/6/2025,15.03,38.45,0,29.9,18.3,91,9,3.2,5.71,8.58
1/7/2025,19.91,14.29,14.19,39.1,25.2,56,56,17.3,2.76,8.69
1/8/2025,10.92,22.84,1.78,29.4,23.9,77,96,3.7,5.17,6.8
1/9/2025,10.86,36.89,0,38.3,15.1,61,54,17.5,5.04,8.22
1/10/2025,12.89,18.14,5.63,38.2,15.1,37,84,2.8,4.27,9.08
1/11/2025,20.39,15.21,14.31,31.7,27.3,72,94,7.9,2.19,7.83
1/12/2025,23.01,35,9.01,31.9,24.6,68,70,16.6,5.89,8.6
1/13/2025,14.62,20.48,6.43,36.7,23.8,44,59,15.1,5.59,9.17
1/14/2025,30.9,37.89,15.74,37.7,18,83,100,21.9,5.02,7.54
1/15/2025,19.15,13.64,13.69,25.9,14.6,51,18,13.4,5.45,9.31
1/16/2025,29.7,30.63,17.45,37,28,47,15,25,4.22,9.24
1/17/2025,21.48,22.94,12.3,26,18,82,24,3.7,4.7,6.29
1/18/2025,30.35,24.72,20.46,37.3,15.4,79,84,1.8,2.8,8.99
1/19/2025,24.52,16.45,17.94,32.4,17.4,50,34,8.9,2.89,7.06
1/20/2025,10.71,26.02,0.3,30.9,17.4,92,84,8.1,2.97,8.05
1/21/2025,14.31,29.79,2.39,28.5,21.3,41,94,12.8,4.03,9.48
1/22/2025,10.9,29.18,0,38.8,14.4,95,43,14.3,4.69,6.59
1/23/2025,9.31,28.36,0,31.6,16.4,64,51,17.6,2.81,8.47
1/24/2025,20.04,29.17,8.37,33.7,16.4,64,41,7.9,5.6,7.05
1/25/2025,28.72,19.91,20.76,36.9,18.2,95,66,14.5,4.95,8.74
1/26/2025,9.23,26.48,0,25.7,18.5,43,16,3.2,3.59,7.65
1/27/2025,15.69,16.2,9.21,37.5,17.6,48,90,19.6,3.09,8.04
1/28/2025,11.84,10.7,7.56,33.2,19.7,60,46,0.8,4.04,7.24
1/29/2025,22.56,14.18,16.89,39.4,22.4,64,18,23.9,3.68,8.59
1/30/2025,18.56,32.75,5.46,34,19,41,81,22.1,2.77,6.53
1/31/2025,25.8,12,21,32.6,12.6,48,7,19.2,3.34,7.96
2/1/2025,32.45,34.02,18.84,39.3,12.5,52,74,14.4,2.52,9.24
2/2/2025,32.01,10.99,27.61,32.1,13.4,73,1,17.1,2.99,5.59
2/3/2025,22.49,25.11,12.45,39,17,86,82,7.3,2.88,7.82
2/4/2025,30.16,32.31,17.24,27.7,16.5,85,5,1.4,2.84,9.32
2/5/2025,18.21,32.45,5.23,36.8,19.2,81,81,16.5,5.64,6.44
2/6/2025,22.38,28.74,10.88,36.2,16.3,77,15,0.3,5.32,5.54
2/7/2025,19.37,28.75,7.87,31.4,14.9,77,85,3.7,3.63,6.96
2/8/2025,22.57,36.48,7.98,36.7,24.8,71,67,22.3,2.69,8.73
2/9/2025,9.6,14.45,3.82,29.8,15.6,60,44,4.1,5.58,7.96
2/10/2025,17.35,10.43,13.18,32.1,19.2,79,55,7.7,4.19,9.1
2/11/2025,30.35,11.04,25.93,28.9,15.2,38,100,4.2,2.37,8.92
2/12/2025,17.46,34.04,3.84,36.3,17.7,86,61,11.3,3,9.01
2/13/2025,12.13,21.57,3.5,32.2,15.1,46,43,3.3,2.56,7.69
2/14/2025,21.17,21.21,12.69,39.9,26.7,82,77,4.4,3.52,5.59
2/15/2025,26.51,21.7,17.83,29.5,25.8,78,68,12.9,5.51,6.14
2/16/2025,16.47,32.48,3.48,25.1,22.3,40,20,12.1,3.9,7.6
2/17/2025,10.48,37.13,0,29.3,16,64,75,22.3,5.58,6.52
2/18/2025,24.77,16.3,18.25,30.5,14.6,68,15,20.9,3.11,9.3
2/19/2025,17.7,23.17,8.43,24.3,21.3,64,70,4.4,5.12,6.09
2/20/2025,22.53,10.9,18.17,29.8,16.3,79,20,5.7,5.92,6.15
2/21/2025,13.95,35.39,0,37.5,17.7,75,41,1.2,5.69,6.01
2/22/2025,24.47,18.67,17,27,25.1,47,35,10.9,3.75,6.94
2/23/2025,16.18,38.32,0.85,30.4,12.1,83,22,8.1,1.65,7.59
2/24/2025,19.88,36.25,5.38,33.9,19.8,74,60,11,3.29,5.76
2/25/2025,19.31,34.44,5.53,32.3,19.4,50,69,11.8,3.96,8.59
2/26/2025,23.84,34.68,9.97,30.2,15.6,78,68,17.2,3.4,8.54
2/27/2025,17.02,17.91,9.86,30.6,19.8,51,41,16.4,4.63,6.39
2/28/2025,31.68,15.33,25.55,27.4,14,63,64,23.4,5.37,8.54
3/1/2025,12.32,26.28,1.81,37.7,21.5,69,31,13.3,4.26,5.55
3/2/2025,10.48,36.58,0,36.6,17,80,57,8.8,5.44,6.5
3/3/2025,14.93,19.69,7.05,26.7,24.6,61,64,23.3,1.88,6.95
3/4/2025,13.11,23.17,3.84,29.3,15.3,95,45,13.8,4.91,6.36
3/5/2025,27.65,18.53,20.24,30.2,22.5,49,26,23.8,1.93,7.93
3/6/2025,34.63,17.07,27.8,37.4,19.5,67,13,7.8,4.14,8.06
3/7/2025,14.78,34.33,1.05,29.8,16.1,43,19,5.7,4,5.88
3/8/2025,13.92,15.55,7.7,37.1,20.1,70,61,15.2,1.68,9.43
3/9/2025,15.88,39.2,0.2,38.6,19.5,41,20,10.6,4.11,7.12
3/10/2025,32.71,26.76,22.01,27.1,16.8,82,16,10.2,4.53,9.4
3/11/2025,34.18,16.98,27.39,35.2,13.9,41,26,12.5,5.92,8.04
3/12/2025,12.37,27.03,1.56,27.4,18.7,93,89,13.3,3,6.55
3/13/2025,24.59,34.88,10.64,39.3,17,57,42,3.2,2.65,8.8
3/14/2025,28.87,26.75,18.17,36,27.3,52,65,12.6,5.41,5.76
3/15/2025,20.27,28.81,8.75,29,24.6,88,57,0.7,2.79,9.07
3/16/2025,22.09,18.39,14.73,28.5,25,73,29,13.2,4.22,5.8
3/17/2025,11.29,39.2,0,38.4,14.8,65,6,4.6,4.48,6.79
3/18/2025,18.64,28.43,7.27,31.9,22.4,89,90,5.6,4.53,9.48
3/19/2025,25.32,33.76,11.82,28,12.5,35,44,12.3,5.41,8.21
3/20/2025,21.79,23.33,12.46,26.6,24.8,35,21,13.8,5.91,6.63
3/21/2025,19.18,25.3,9.06,26.9,20,82,28,8.4,4.91,8.49
3/22/2025,25.31,15.5,19.11,36.8,26.2,65,98,11.6,5.52,6.87
3/23/2025,8.43,29.7,0,27.4,16.2,79,43,5.9,4.07,8.53
3/24/2025,17.42,23.11,8.18,28,18,70,53,9.5,4.38,5.57
3/25/2025,11.42,21,3.02,31.6,19.2,55,92,15.9,5.32,6.28
3/26/2025,10.28,30.77,0,26.3,26.2,65,74,23.8,5.55,9.42
3/27/2025,22.01,36.09,7.57,34.4,19.6,61,85,24.5,3.37,6.54
3/28/2025,11.59,37.82,0,31.8,20.4,56,13,13.6,3.5,9.33
3/29/2025,15.4,37.61,0.36,34.7,24.5,92,36,7.8,4.99,6.27
3/30/2025,11.2,18.52,3.79,38.8,25.8,42,54,14.4,3.63,7.99
3/31/2025,27.39,29.93,15.42,30.4,21.9,42,77,16.5,1.93,6.21
4/1/2025,9.42,16.51,2.82,36.2,13.5,92,67,22.9,4.16,9.13
4/2/2025,19.46,20.01,11.46,25.3,22.3,70,85,20.5,4.13,5.72
4/3/2025,26.8,17.05,19.98,31.1,23.6,94,3,13.9,5.86,6.93
4/4/2025,34.9,16.96,28.12,27.4,26.2,76,42,22.5,4.52,5.9
4/5/2025,31.94,38.89,16.38,25.7,20,47,48,22.1,5.75,6.79
4/6/2025,26.28,22.99,17.08,37.9,12.4,69,34,0.7,1.87,6.42
4/7/2025,10.96,32.34,0,31.3,15.3,48,49,5.3,4.57,6.78
4/8/2025,29.41,19.83,21.48,31.7,25.9,59,13,16.3,5.06,7.03
4/9/2025,9.66,10.1,5.62,27.5,26,94,11,11,5.02,8.71
4/10/2025,13.11,20.77,4.8,28.3,20.1,78,43,18.4,2.42,8.14
4/11/2025,11.22,26.79,0.5,32.1,18.7,78,16,5.9,4.37,8.77
4/12/2025,15.4,29.27,3.69,39.9,27.5,76,80,12.7,5.27,5.76
4/13/2025,34.11,36.47,19.52,33.4,27.6,81,85,20.7,2.73,5.68
4/14/2025,21.39,28.47,10,36.7,23.7,81,36,19.6,3.82,7.92
4/15/2025,28.48,34.91,14.52,28.2,25.3,87,85,17.6,5.87,7.36
4/16/2025,32.23,24.8,22.31,35.1,26.3,70,69,20.7,2.36,7.08
4/17/2025,25.32,32.57,12.29,33.5,12.8,65,93,23.7,5.88,6.06
4/18/2025,10.26,39.66,0,30.1,20.5,62,32,12.9,5.48,9.03
4/19/2025,30.4,21.66,21.74,29.2,15.3,91,68,9.6,5.88,5.93
4/20/2025,10.33,34.71,0,25.9,27.5,57,97,17.1,5.97,7.72
4/21/2025,15.38,25.87,5.03,29,19.4,37,28,14.1,2.62,8.93
4/22/2025,11.48,27.99,0.28,24.4,12.8,75,95,11.7,5.35,5.74
4/23/2025,20.18,24.73,10.29,35.9,16.2,55,8,18.4,5.12,9.35
4/24/2025,25.45,19.05,17.83,35,21.4,53,48,17.8,4.66,6.92
4/25/2025,9.07,33.16,0,38.1,13.9,54,20,20.2,1.99,5.89
4/26/2025,34.8,16.47,28.21,26.5,18.5,73,72,22.8,5.89,7.25
4/27/2025,14.67,16.32,8.14,39.9,15.3,56,4,15.6,2.87,6.79
4/28/2025,16.47,27.58,5.44,32.1,15.7,89,70,14.8,3.71,7.64
4/29/2025,11.91,20.25,3.81,29.3,26.5,81,87,0.1,4.13,6.83
4/30/2025,11.73,39.4,0,36.6,17.2,56,69,3.6,5.52,7.36
5/1/2025,20.11,20.66,11.85,36.9,20.7,50,80,6,4.15,8.72
5/2/2025,11.86,11.45,7.28,28.1,16.2,58,66,10.7,5.63,6.22
5/3/2025,32.97,13.08,27.74,39.6,20.8,90,53,3.3,1.82,9.19
5/4/2025,32.64,32.18,19.77,34.5,22.6,93,51,7.9,4.14,9.35
5/5/2025,19.69,28.71,8.21,38.3,16.7,79,92,13.2,5.76,5.65
5/6/2025,19.78,12.96,14.6,30,15.5,91,56,10.1,5.32,5.97
5/7/2025,27.13,38.76,11.63,33.5,17.8,74,10,3.6,4.56,5.55
5/8/2025,11.78,28.08,0.55,36.1,24.2,40,67,19.2,5.43,9.32
5/9/2025,10.66,29.93,0,27.7,25.6,48,26,2,5.34,6.85
5/10/2025,17.47,16.39,10.91,26.8,23.5,68,54,3,3.2,5.52
5/11/2025,24.46,26.51,13.86,26.9,15.5,79,38,4.6,2.48,7.17
5/12/2025,23.59,21.01,15.19,24.3,19.4,73,71,13.9,4.74,8.87
5/13/2025,25.72,29.41,13.96,38.6,15.9,47,50,19.6,5.09,7.14
5/14/2025,33.1,35.67,18.83,32.8,18.7,85,22,10,2.21,8.04
5/15/2025,8.05,25.54,0,34,12.5,52,56,4.8,3.21,7.31
5/16/2025,24.79,11.74,20.09,37,24,91,83,20.9,2.31,7.27
5/17/2025,34.65,34.04,21.03,29.2,22.5,42,33,8.5,5.67,8.41
5/18/2025,21.55,27.77,10.44,29.3,26.3,88,51,11.8,3.48,7.49
5/19/2025,34.59,36.36,20.05,38.2,20.1,94,69,22.1,3.15,7.11
5/20/2025,27.1,25.02,17.09,27.2,19.7,93,28,9.5,5.5,8.57
5/21/2025,21.98,19.69,14.1,31.9,19.3,45,8,1.3,1.66,7.63
5/22/2025,19.22,20.18,11.15,27.2,23.8,49,26,21.4,4.77,7.34
5/23/2025,20.93,17.26,14.03,39.8,25.8,52,79,1.2,3.16,6.64
5/24/2025,18.73,13.56,13.31,26.9,18.3,67,12,1.6,3.56,6.42
5/25/2025,33.06,37.63,18.01,24.6,22.4,41,11,4.2,5.48,8.47
5/26/2025,32.46,19.22,24.77,24.9,21.1,62,68,18.8,2.4,5.68
5/27/2025,20.04,11.96,15.26,26,15.3,37,69,13,2.16,8.98
5/28/2025,15.06,11.47,10.47,27.3,16.5,62,99,4.7,5.68,6.99
5/29/2025,17.93,25.83,7.6,39.3,24.8,58,94,15.6,5.79,7.54
5/30/2025,32.2,37.03,17.39,32.7,17.7,72,76,2.1,2.01,7.61
5/31/2025,13.29,36.68,0,30.7,20.4,64,14,5.2,2.35,7.38
6/1/2025,28.96,18.41,21.6,29.2,18.5,37,13,9.8,3.16,5.9
6/2/2025,20.4,13.61,14.96,24.2,18.8,67,5,6.8,1.59,6.48
6/3/2025,10.02,27.07,0,36.5,12.3,49,67,13.6,2.94,9.2
6/4/2025,33.63,39.97,17.64,32.9,25.3,76,95,16.6,3.14,6.46
6/5/2025,23.17,27.78,12.06,31.9,16.2,82,0,14.5,4.61,6.75
6/6/2025,14.39,19.82,6.46,24.7,18.7,48,88,18.8,3.84,5.73
6/7/2025,27.62,16.45,21.04,32.3,14.5,43,9,18.4,5.35,7.53
6/8/2025,14.62,13.51,9.22,38,12,40,97,2.4,3.13,6.83
6/9/2025,15.22,32.26,2.32,38.4,12.4,59,51,20.1,5.14,8.58
6/10/2025,19.89,34.21,6.21,27.2,18.6,81,67,20.8,3.55,9.21
6/11/2025,24.94,18.13,17.69,34.4,15.7,93,44,21.4,4.87,6.18
6/12/2025,32.42,22.64,23.36,25.7,22.2,40,91,9,2.43,7.8
6/13/2025,27.79,35.53,13.58,38,15.2,62,89,1.6,1.91,7.54
6/14/2025,23.94,36.85,9.2,27.3,17.9,89,15,4.2,3.68,5.52
6/15/2025,23.99,15.73,17.7,39,25.2,44,51,2,1.62,8.41
6/16/2025,11.85,28.22,0.56,39,20.2,75,44,22.5,5.26,8.87
6/17/2025,30.98,17.97,23.79,39.2,26.1,45,44,1.3,1.93,8.94
6/18/2025,31.39,36.9,16.63,32.3,24.5,45,84,3.2,4.27,8.66
6/19/2025,10.16,31.56,0,26.8,14,69,98,0.1,2.77,9.3
6/20/2025,21.19,12.42,16.22,36.3,27,70,35,0.5,2.67,9.16
6/21/2025,23.55,33.09,10.31,38.1,13.7,68,54,13.7,5.09,9.47
6/22/2025,9.16,29.84,0,30.5,27.1,45,3,23,4.65,7.28
6/23/2025,14,14.45,8.22,34.6,21.3,74,20,16.5,3.58,6.76
